week,location,missingness,quantile10,quantile90,value
2015 45,Beijing US Embassy,0.005952380952380931,14.0,160.4,84.34131736526946
2015 45,US Diplomatic Post: New Delhi,0.09523809523809523,82.1,378.70000000000005,223.2434210526316
2015 46,Beijing US Embassy,0.31547619047619047,53.6,262.0,180.87826086956522
2015 46,US Diplomatic Post: New Delhi,0.005952380952380931,93.2,402.00000000000006,225.4191616766467
2015 47,Beijing US Embassy,0.25595238095238093,12.4,82.0,42.984
2015 47,US Diplomatic Post: New Delhi,0.0,136.1,372.1000000000001,247.10119047619048
2015 48,Beijing US Embassy,0.011904761904761862,7.0,544.5,243.33734939759037
2015 48,US Diplomatic Post: New Delhi,0.005952380952380931,129.20000000000002,352.4,235.2814371257485
2015 49,Beijing US Embassy,0.08333333333333337,7.0,292.70000000000005,132.07792207792207
2015 49,US Diplomatic Post: New Delhi,0.0,144.7,383.3,265.7202380952381
2015 50,Beijing US Embassy,0.17261904761904767,6.0,275.6,77.58992805755396
2015 50,US Diplomatic Post: New Delhi,0.0,68.7,296.3,204.22619047619048
2015 51,Beijing US Embassy,0.10119047619047616,42.0,391.0,202.33112582781456
2015 51,US Diplomatic Post: New Delhi,0.017857142857142905,123.4,449.4,293.08484848484846
2015 52,Beijing US Embassy,0.1607142857142857,36.0,545.0,230.43262411347519
2015 52,US Diplomatic Post: New Delhi,0.005952380952380931,84.2,313.20000000000005,210.52095808383234
2015 53,US Diplomatic Post: New Delhi,0.9166666666666666,88.6,366.9,210.14285714285714
2016 01,Beijing US Embassy,0.6904761904761905,8.0,70.29999999999998,26.096153846153847
2016 01,US Diplomatic Post: New Delhi,-0.27976190476190466,194.0,508.20000000000005,353.293023255814
2016 02,Beijing US Embassy,0.7083333333333333,10.8,91.00000000000001,43.12244897959184
2016 02,US Diplomatic Post: New Delhi,-0.5,75.3,409.8,235.06746031746033
2016 03,Beijing US Embassy,0.8630952380952381,109.6,155.6,134.6086956521739
2016 03,US Diplomatic Post: New Delhi,-0.5,138.0,327.9,229.75396825396825
2016 04,Beijing US Embassy,0.8511904761904762,13.4,40.0,22.96
2016 04,US Diplomatic Post: New Delhi,-0.4761904761904763,163.0,419.1000000000001,295.1532258064516
2016 05,Beijing US Embassy,0.3928571428571429,10.0,43.900000000000006,22.901960784313726
2016 05,US Diplomatic Post: New Delhi,-0.43452380952380953,48.0,403.0,195.68879668049792
2016 06,Beijing US Embassy,0.029761904761904767,9.0,179.40000000000003,79.53374233128834
2016 06,US Diplomatic Post: New Delhi,-0.5,68.0,300.6,169.95634920634922
2016 07,Beijing US Embassy,0.011904761904761862,6.0,142.5,36.25301204819277
2016 07,US Diplomatic Post: New Delhi,-0.4821428571428572,52.0,177.20000000000002,112.73895582329317
2016 08,Beijing US Embassy,0.023809523809523836,7.0,112.40000000000003,36.30487804878049
2016 08,US Diplomatic Post: New Delhi,-0.4464285714285714,34.0,194.8,107.08230452674897
2016 09,Beijing US Embassy,0.0,10.0,274.3,102.88095238095238
2016 09,US Diplomatic Post: New Delhi,-0.4821428571428572,74.0,214.60000000000005,136.87951807228916
2016 10,Beijing US Embassy,0.005952380952380931,8.0,308.0,78.50898203592814
2016 10,US Diplomatic Post: New Delhi,-0.5,25.0,151.30000000000004,76.61507936507937
2016 11,Beijing US Embassy,0.017857142857142905,14.0,244.79999999999998,120.42424242424242
2016 11,US Diplomatic Post: New Delhi,-0.38690476190476186,14.0,91.40000000000003,48.02145922746781
2016 12,Beijing US Embassy,0.09523809523809523,8.100000000000001,189.0000000000001,87.9407894736842
2016 12,US Diplomatic Post: New Delhi,-0.005952380952380931,11.0,110.40000000000003,56.69230769230769
2016 13,Beijing US Embassy,0.0,6.0,115.0,43.595238095238095
2016 13,US Diplomatic Post: New Delhi,-0.49404761904761907,17.0,131.0,67.0
2016 14,Beijing US Embassy,0.0,6.0,173.0,65.91666666666667
2016 14,US Diplomatic Post: New Delhi,-0.5,22.0,109.0,62.16269841269841
2016 15,Beijing US Embassy,0.005952380952380931,12.800000000000004,111.80000000000001,64.92814371257485
2016 15,US Diplomatic Post: New Delhi,-0.5,17.0,94.9,45.888888888888886
2016 16,Beijing US Embassy,0.011904761904761862,11.5,96.5,50.98192771084337
2016 16,US Diplomatic Post: New Delhi,-0.5,26.0,122.9,65.15873015873017
2016 17,Beijing US Embassy,0.0,24.0,116.0,65.30952380952381
2016 17,US Diplomatic Post: New Delhi,-0.4761904761904763,33.0,179.50000000000006,98.54032258064517
2016 18,Beijing US Embassy,0.0,19.0,175.3,84.01785714285714
2016 18,US Diplomatic Post: New Delhi,-0.13690476190476186,37.0,322.0,148.3979057591623
2016 19,Beijing US Embassy,0.029761904761904767,9.0,131.20000000000005,56.41717791411043
2016 19,US Diplomatic Post: New Delhi,0.023809523809523836,35.3,101.70000000000002,67.61585365853658
2016 20,Beijing US Embassy,0.023809523809523836,18.0,80.70000000000002,49.34756097560975
2016 20,US Diplomatic Post: New Delhi,0.0357142857142857,35.0,117.9,73.80246913580247
2016 21,Beijing US Embassy,0.04761904761904767,14.0,90.1,52.08125
2016 21,US Diplomatic Post: New Delhi,0.1964285714285714,36.0,105.20000000000002,62.681481481481484
2016 22,Beijing US Embassy,0.0,30.0,98.90000000000003,59.50595238095238
2016 22,US Diplomatic Post: New Delhi,0.011904761904761862,24.5,96.0,59.674698795180724
2016 23,Beijing US Embassy,0.017857142857142905,45.400000000000006,129.79999999999998,85.58181818181818
2016 23,US Diplomatic Post: New Delhi,0.0,34.7,86.20000000000005,57.80952380952381
2016 24,Beijing US Embassy,0.0535714285714286,8.8,76.40000000000003,37.289308176100626
2016 24,US Diplomatic Post: New Delhi,0.0,21.0,70.30000000000001,46.595238095238095
2016 25,Beijing US Embassy,0.017857142857142905,27.0,94.6,62.17575757575757
2016 25,US Diplomatic Post: New Delhi,0.0,27.0,56.0,40.45238095238095
2016 26,Beijing US Embassy,0.13690476190476186,6.4,105.79999999999998,49.772413793103446
2016 26,US Diplomatic Post: New Delhi,0.0,29.0,79.60000000000002,52.166666666666664
2016 27,Beijing US Embassy,0.0,12.399999999999999,114.0,68.29166666666667
2016 27,US Diplomatic Post: New Delhi,0.5833333333333333,18.900000000000002,86.30000000000001,44.77142857142857
2016 28,Beijing US Embassy,0.011904761904761862,12.0,87.5,49.7710843373494
2016 28,US Diplomatic Post: New Delhi,0.023809523809523836,20.0,66.70000000000002,49.53658536585366
2016 29,Beijing US Embassy,0.06547619047619047,17.200000000000003,98.4,58.33757961783439
2016 29,US Diplomatic Post: New Delhi,0.0,14.0,40.0,26.761904761904763
2016 30,Beijing US Embassy,0.09523809523809523,5.0,85.70000000000002,42.73684210526316
2016 30,US Diplomatic Post: New Delhi,0.0,23.0,69.20000000000005,43.69047619047619
